ID del Video,URL,Comentario,Fecha de Publicación,Likes del Comentario,Sentimiento
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,Cuanto cuesta una fresadora de palma,2024-11-30T12:21:23Z,0,Neutral
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎😡😡😡😡😡😡😡😡😡😡😡🤬🤬,2024-11-29T05:51:39Z,0,Neutral
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,Necesito precio de la práctica lámina de zinc,2024-11-25T19:57:17Z,1,Neutral
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,trombones,2024-11-15T13:56:55Z,0,Neutral
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,😂😂😂😂😂K  MALA RECOMENDACION  K DAN X MERCADO LIBRE,2024-11-14T15:03:22Z,0,Neutral
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,Aparatos eléctricos,2024-11-14T13:54:45Z,0,Neutral
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,MercadoLibre Cómo sé yo quiero entrar en el grupo MercadoLibre,2024-11-09T21:54:19Z,0,Neutral
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,MercadoLibre cómo se hace😊,2024-11-09T21:53:50Z,0,Neutral
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,Lapinsa eschina cortatornillo pelacable poncha y sedobla,2024-11-08T16:34:38Z,0,Neutral
j0YF5YbL0Xk,https://www.youtube.com/watch?v=j0YF5YbL0Xk,😂pinsaperfomanc eu  ...oalicate pelaforro corta tornillo  ponchadora l<br>Tiene  unled en elmangocortadora y se dobla encuanto sale,2024-11-08T16:28:35Z,0,Neutral
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,"Esta empresa es pésima atendiendo a las personas cuando sus conductores le pegan a tu auto y huyen, no hay un teléfono donde los puedas contactar, en la app solo hay guía para ayuda por compra o venta...",2024-12-02T15:55:34Z,0,Negativo
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,Ojalá pueda entrar a trabajar allí ❤,2024-11-23T03:02:28Z,0,Neutral
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,"aun recuerdo cuando mercadolibre era algo casi de otro mundo en mi infancia, ahora es increible ver como algo que uno no pensaria seria masivo, lo es hoy en dia",2024-10-04T20:07:53Z,0,Negativo
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,"@mercadolibre todo muy bonito, pero si no escogen bien a sus repartidores todo sale mal. Ya les mande a la profeco",2024-10-04T19:19:38Z,0,Negativo
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,REGRESEN MI DEVOLUCIÓN QUÉ SE ROBARON,2024-09-28T19:55:50Z,0,Neutral
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,Que mex es ahí?<br>Vayan al site de Tepotzotlán y es un desmadre el mezzanine Jajjs <br>Cómo picker es un pedote pickear,2024-09-10T04:52:43Z,0,Neutral
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,Hola necesito una crema de dientes q blanquee q se muy buena por favor,2024-09-02T15:36:13Z,0,Positivo
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,Yo quies comprar un horno para pan de gas y resulta queno lo en bian  al norte de veracuz,2024-09-01T23:14:18Z,0,Neutral
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,Mercado Libre es una tremenda Empresa 🇦🇷 muy bien manejada!!!👏👏👏👍,2024-08-28T21:14:40Z,0,Neutral
8eFhnpvaRB0,https://www.youtube.com/watch?v=8eFhnpvaRB0,Relaciones sexuales heterosexuales. 🍴🍴🍴🍴🍽🍽🍽🍽🥢🥢🥢🥢🧊🧊🧊🧊🧉🧉🧉🧉🧃🧃🧃🧃🧋🧋🧋🥤🥤🥤🥄🥄🥄🔪🔪🔪🫙🫙🫙🏺🏺🏺,2024-08-27T06:18:08Z,0,Neutral
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,Como ago mi dni esta con una dirección anterior ahora vivo en otro distrito,2024-12-02T05:17:16Z,0,Neutral
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,"¿Por qué no me da la opción de entrega en mi domicilio, sopo me da para un punto de retiro?",2024-12-01T16:55:48Z,0,Negativo
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,Porque no lo asen paso a paso para adultos mayores,2024-11-23T04:15:32Z,0,Negativo
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,Soy el único estudio q buscaba esto,2024-11-02T23:36:19Z,0,Neutral
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,Ando buscando una chapa de tracto camión Kenwood,2024-10-24T16:32:20Z,0,Neutral
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,Y para pagar con tarjeta?????,2024-10-16T19:47:25Z,0,Neutral
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,"Bien entendido.<br>Soy joven pero como no cresi a la par de la tegnologia, estoy perdida.<br>Mas que no tengo gente de confianza que me enseñe, apenas aprendi a usar mercado pago. 😂",2024-10-09T02:30:29Z,0,Negativo
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,Amigo quedé desilusionado no esplicaste todo,2024-10-05T07:26:04Z,0,Negativo
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,un dia sos joven y al otro andas bien ruco viendo como comprar en linea pq no sabes q peo con los pagos ahahahaha,2024-09-30T23:01:38Z,0,Negativo
ygONLOHtZ8k,https://www.youtube.com/watch?v=ygONLOHtZ8k,Si me pueden responder?,2024-09-19T13:11:34Z,0,Neutral
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,"⚡ UGREEN MagFlow Qi2 Cargador Inalámbrico 15W (41% OFF):<br><a href=""https://amzn.to/4fzzDLp"">https://amzn.to/4fzzDLp</a><br>🔖 Checa las ofertas del Black Friday de Ugreen (hasta 40% OFF):<br><a href=""https://amzn.to/4fyW7fH"">https://amzn.to/4fyW7fH</a>",2024-11-29T05:17:22Z,8,Neutral
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,"Ami me acabaron de estafar con un reloj Huawei ultimate que le regale a mi viejo para que se cheque su salud, habían dos camiones de mercado libre estacionados frente a mi casa como por media hora, un chofer hasta mío.<br><br>Me entregaron mi sobre sellado, la con mis datos ahora viéndolo estaban no muy bien pegada (no se nota a primeras) y tiene escrito con pluma C-4 Feidinand.<br><br>La caja del reloj llegó sin dentro de la bolsa sin ningún protección y con unos rasguños, y dentro habia un reloj barato y oxidado.",2024-12-04T22:40:18Z,0,Negativo
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,"Por poquito me pasa una vez, pero ahi fue que el repartidor se andaba haciendo pato y dio por entregada mi compra y luego luego abri reclamo y al dia siguiente me llamo el repartidor, quee casualidaad! Ques que mi cel apagado, ques que nadie en casa.",2024-12-04T20:16:17Z,0,Neutral
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,No digas mamadas... Yo pensé otra cosa... pero son puras pendejadas... Desde tu vídeo.. hasta la pobre mujer está mentirosa... Nomás perdí mi tiempo... No mamen... Con sus videos estúpidos,2024-12-04T19:48:34Z,0,Negativo
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,"Me acaba de pasar lo mismo con un iPhone, llego en bolsa completamente cerrada y adentro de la caja del iPhone unos metales. Levante reclamo y me cerraron el reclamo y aparte me suspenden la cuenta. Qué puedo hacer?",2024-12-04T02:00:19Z,0,Neutral
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,Son reales estos videos?,2024-12-04T01:48:33Z,0,Neutral
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,@RepJoe crees que sea mejor comprar desde la misma tienda de apple? o deplano seria lo mismo??? ayuddaaaa es que necesito un iphone para el trabajo,2024-12-04T00:48:32Z,0,Neutral
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,"yo apenas compre un celular reacondicionado, con mucha duda de que llegará talvez el cel pero este en malas condiciones, el.vendedor nl tenia muchas ventas, pero salio todo bien, el celular como seminuevo sin detalles",2024-12-03T22:34:08Z,1,Negativo
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,No mames Profeco vale verga nunca te defiende,2024-12-02T14:53:28Z,0,Negativo
o_VSWn9IPww,https://www.youtube.com/watch?v=o_VSWn9IPww,"Que tan muertos de hambre estaran los que hacen estas cosas,? y mercado libre solo terminara por desaparecer en México si no solucionana estas cosas ya que pierden toda su credibilidad",2024-12-02T03:31:15Z,0,Negativo
eFhdZoYtSlM,https://www.youtube.com/watch?v=eFhdZoYtSlM,Buenas tardes cómo algo para.er.uncarro.de.estados.unidos.pa.colombia,2024-12-05T00:34:22Z,0,Neutral
eFhdZoYtSlM,https://www.youtube.com/watch?v=eFhdZoYtSlM,Como compra un carro.en.estados unidos.y.tra.erlo.pa.colombia,2024-12-05T00:33:23Z,0,Neutral
