id_video,fecha_recuperacion,nombre_usuario,url_perfil,comment,fecha_publicacion,num_likes,producto,red_social,idioma_original
7428789400760257798,2024-12-02 18:50:50.748605,Juanito2.0,https://www.tiktok.com/@jehu515,What I need is your wallpaper😭,2024-11-30,0.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.758315,HIT ME HARD N SOFT,https://www.tiktok.com/@myftu,"Apple Music ended up and I had no money to pay, I was using spotify and my heads of the sounds so strong that it has hurt",2024-10-30,58.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.767065,Edgar Cruz,https://www.tiktok.com/@eddiecm,"I tried to use Apple Music but Spotify has much better low and greater volume, it is very noticeable with beats and airpods max",2024-10-23,2.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.775705,César Prado Ayala,https://www.tiktok.com/@agus_prado7,"Any good hearing aid to enjoy them?I have the pro 2 and I had the Max Airpods, I don't convince me",2024-12-01,0.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.784714,andeeregei,https://www.tiktok.com/@user925884128839,"In volume adjustment ”Disagge it when they have the airpods and increase the volume to the maximum, try it 🤝🏻",2024-10-23,0.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.792732,tu_compa_0,https://www.tiktok.com/@tu_compa_0,As I do so that by pressing the airpods I do not reproduce the music in automatic is annoying,2024-10-29,0.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.801914,_luis.tv,https://www.tiktok.com/@_luis.tv2,How active the Music's eye from the beginning?,2024-11-27,0.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.810273,Eren,https://www.tiktok.com/@kaneki98xd,"I feel that this dolby atmos is heard very edited, that I know",2024-10-29,0.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.819271,CRISTOPHER A.【𝙁𝙄】,https://www.tiktok.com/@cristopher_ap_f1,But the Dolby Atmos is not the big thing.😒,2024-10-23,17.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.828196,Reyes07,https://www.tiktok.com/@rey_jose07,Some equalizer configuration to sound boom,2024-11-12,1.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.837392,anth_jxmil,https://www.tiktok.com/@anth_jxmil,Why in Apple Music I put an artist and do not reproduce all his songs only reaches a few help,2024-11-09,0.0,apple_music,tiktok,es
7428789400760257798,2024-12-02 18:50:50.845381,SebasAP1990,https://www.tiktok.com/@sebasap1990,All good but you have to add good cable headphones to take advantage of the lossless,2024-10-23,0.0,apple_music,tiktok,es
