id_video,fecha_recuperacion,nombre_usuario,url_perfil,comentario,fecha_publicacion,num_likes
7197550373580705029,2024-12-03 00:14:26.766102,hustlas614,https://www.tiktok.com/@hustlas614,"YouTube y YouTube music, puedes pagarlas juntas?",2023-7-25,5
7197550373580705029,2024-12-03 00:14:26.780113,tylerfan08,https://www.tiktok.com/@tylerfan08,"Qobuz tiene buena calidad pero tidal le gana en variedad de canciones que tiene en alta calidad , creo que tidal es la mejor en eso",2023-2-7,4
7197550373580705029,2024-12-03 00:14:26.788105,Victorgtz10,https://www.tiktok.com/@victorgtz10,que canciones nos recomiendas para escuchar en alta calidad ?,2023-2-7,0
7197550373580705029,2024-12-03 00:14:26.798118,Guillermo Memo,https://www.tiktok.com/@guillermomemo5,yo tengo usándola más menos 5 años y me funciona me saca del apuro en alguna canción en específico que lleguen a pedir y si el sonido es muy variable,2023-2-7,1
7197550373580705029,2024-12-03 00:14:26.808104,Jose Alfredo Vargas Cruz,https://www.tiktok.com/@josealfredovargas742,dezzer hifi,2023-2-7,0
7118186274925694214,2024-12-03 00:18:14.083654,betanwest,https://www.tiktok.com/@betancourtlover911,wey te pareces a Iñaki Godoy,2022-7-8,1
7118186274925694214,2024-12-03 00:18:14.094636,Alejandro,https://www.tiktok.com/@daniel_alejandro555,Tidal es obligatorio si usas audífonos HI-FI,2022-7-8,136
7118186274925694214,2024-12-03 00:18:14.103638,Jimmy Balam Fuentes,https://www.tiktok.com/@jimmybalamfuentes,"tidal no es recomendable, a menos que tengas un dispositivo que logre reproducir la calidad de musica que ofrece tidal",2022-7-10,0
7118186274925694214,2024-12-03 00:18:14.113210,ari(el),https://www.tiktok.com/@_lvvari,No probaste sound cloud?,2022-7-8,1
7118186274925694214,2024-12-03 00:18:14.123211,pao,https://www.tiktok.com/@pao_castre,Te pareces a Jake Gyllenhaal <3,2022-7-10,1
7118186274925694214,2024-12-03 00:18:14.132842,LeninPérezll.ı,https://www.tiktok.com/@lnninpz_,Entre Tidal y Deezer cual tiene mejor calidad de audio?,2023-3-1,0
7118186274925694214,2024-12-03 00:18:14.142619,Elix🐨,https://www.tiktok.com/@hunt1206,mi favorita es Deezer,2022-7-16,2
7118186274925694214,2024-12-03 00:18:14.151604,Génesis Solórzano Co,https://www.tiktok.com/@genesis_sc97,Pero You Tube premiun no se puede vincular con Alexa 😭,2-21,1
7118186274925694214,2024-12-03 00:18:14.159928,divulgación y videojuegos,https://www.tiktok.com/@divulgacionyvideojuegos,aguante Youtube music,2023-8-16,0
7118186274925694214,2024-12-03 00:18:14.168926,Zarcops,https://www.tiktok.com/@zarcops,"he probado caso todos los servicios u debo decir que Spotify y YouTube son los únicos que me gustaron, y tidal está a otro nivel con la calidad",2022-8-12,0
7118186274925694214,2024-12-03 00:18:14.178924,Jair Constantino437,https://www.tiktok.com/@barrittoouwu,"yo pobre tidal y spotify con la calidad de audio en maxima, y no note practicamente ninguna diferencia en la calidad aparte de que el audio suena mas+",2022-7-9,2
7118186274925694214,2024-12-03 00:18:14.187672,Davis,https://www.tiktok.com/@davis_travis,TIDAL no tiene la calidad de audio que promete si escuchas la música inalámbricamente,3-12,0
7118186274925694214,2024-12-03 00:18:14.198670,Eduardo Moctezuma,https://www.tiktok.com/@eduarmoc,Pero Amazon Music no tiene canciones JAJAJAJA,2022-7-9,0
7118186274925694214,2024-12-03 00:18:14.207845,Danielle8,https://www.tiktok.com/@danielle0511x,tidal me gusta,2023-6-5,0
7118186274925694214,2024-12-03 00:18:14.217333,Freddy Cuevas,https://www.tiktok.com/@freddycaves,no hay nada mejor que Spotify,2022-9-18,0
7118186274925694214,2024-12-03 00:18:14.226844,jajaja,https://www.tiktok.com/@joselibmei,"Pues, yo busco calidad de audio, y es mi segundo mes pagando tidal, estoy encantado con esta app. estaba con yt música y también es una chulada",2022-7-8,1
7118186274925694214,2024-12-03 00:18:14.237846,AngeloValle,https://www.tiktok.com/@lovemv98,"Tengo el Spotify, pero Tidal con esa calidad de sonido en un sony xm4 es una locura. No lo cambio por nada",2022-7-10,1
7118186274925694214,2024-12-03 00:18:14.248846,Andre Palacios,https://www.tiktok.com/@andrepalacios7,"Lo bueno de Spotify es que cada cierto tiempo dan meses gratis o muy baratos, al igual que descuento por estudiante",2022-7-9,3
7118186274925694214,2024-12-03 00:18:14.257845,hersonbucio92,https://www.tiktok.com/@hersonbucio92,"actualmente utilizo Spotify, me recomendarían cambiar a Youtube premium?",2022-7-21,1
7118186274925694214,2024-12-03 00:18:14.267107,dp.javi🥷🏻,https://www.tiktok.com/@younglex_77_,Spotify sin dudar,2022-7-8,24
7118186274925694214,2024-12-03 00:18:14.277108,rafaelperalta366,https://www.tiktok.com/@rafaelperalta366,"Usuario común: YT Music o Spotify.
Usuario que le de preferencia a la calidad de audio: Tidal.",2022-7-15,1
